,"U.S. Census Bureau"
,"Source: Advance Monthly Sales for Retail and Food Services"
,"441: Motor Vehicle and Parts Dealers"
,"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
,"Geographic Level: U.S. Total"
,
Period,Value
2004/01/01,61287
2004/02/01,65381
2004/03/01,78843
2004/04/01,73422
2004/05/01,77662
2004/06/01,75516
2004/07/01,78991
2004/08/01,76521
2004/09/01,73711
2004/10/01,68880
2004/11/01,65341
2004/12/01,72600
2005/01/01,62064
2005/02/01,67086
2005/03/01,80753
2005/04/01,77802
2005/05/01,78476
2005/06/01,85534
2005/07/01,87869
2005/08/01,81390
2005/09/01,69559
2005/10/01,63740
2005/11/01,64982
2005/12/01,70796
2006/01/01,65873
2006/02/01,67594
2006/03/01,82928
2006/04/01,76335
2006/05/01,81673
2006/06/01,80744
2006/07/01,81021
2006/08/01,83127
2006/09/01,73118
2006/10/01,70482
2006/11/01,67599
2006/12/01,71160
2007/01/01,66738
2007/02/01,69536
2007/03/01,84022
2007/04/01,77418
2007/05/01,85335
2007/06/01,79976
2007/07/01,79239
2007/08/01,84791
2007/09/01,73596
2007/10/01,74568
2007/11/01,67426
2007/12/01,69142
2008/01/01,65909
2008/02/01,69153
2008/03/01,76765
2008/04/01,73937
2008/05/01,76381
2008/06/01,69660
2008/07/01,69958
2008/08/01,69951
2008/09/01,60757
2008/10/01,55321
2008/11/01,48162
2008/12/01,52734
2009/01/01,50513
2009/02/01,50498
2009/03/01,57642
2009/04/01,56464
2009/05/01,58093
2009/06/01,60093
2009/07/01,62758
2009/08/01,66739
2009/09/01,52442
2009/10/01,55226
2009/11/01,50288
2009/12/01,56045
2010/01/01,50012
2010/02/01,51998
2010/03/01,67632
2010/04/01,64547
2010/05/01,65376
2010/06/01,64836
2010/07/01,67087
2010/08/01,66085
2010/09/01,61676
2010/10/01,61429
2010/11/01,58918
2010/12/01,64672
2011/01/01,58225
2011/02/01,63178
2011/03/01,75982
2011/04/01,70364
2011/05/01,70070
2011/06/01,70747
2011/07/01,69910
