Period,sales,suvs,insurance
2004/01/01,61287,0,0
2004/02/01,65381,-0.12,-0.01
2004/03/01,78843,-0.05,-0.09
2004/04/01,73422,-0.12,-0.08
2004/05/01,77662,-0.07,-0.07
2004/06/01,75516,-0.12,0.01
2004/07/01,78991,-0.14,0.07
2004/08/01,76521,-0.09,0.05
2004/09/01,73711,-0.12,-0.07
2004/10/01,68880,-0.14,-0.06
2004/11/01,65341,-0.09,-0.2
2004/12/01,72600,-0.15,-0.2
2005/01/01,62064,-0.11,0
2005/02/01,67086,-0.1,-0.17
2005/03/01,80753,-0.09,-0.1
2005/04/01,77802,-0.14,-0.13
2005/05/01,78476,-0.15,-0.14
2005/06/01,85534,-0.04,-0.08
2005/07/01,87869,-0.07,-0.08
2005/08/01,81390,-0.09,-0.03
2005/09/01,69559,-0.17,-0.13
2005/10/01,63740,-0.17,-0.17
2005/11/01,64982,-0.2,-0.23
2005/12/01,70796,-0.23,-0.29
2006/01/01,65873,-0.15,-0.13
2006/02/01,67594,-0.15,-0.19
2006/03/01,82928,-0.12,-0.17
2006/04/01,76335,-0.17,-0.16
2006/05/01,81673,-0.14,-0.13
2006/06/01,80744,-0.23,-0.14
2006/07/01,81021,-0.13,-0.03
2006/08/01,83127,-0.15,-0.02
2006/09/01,73118,-0.18,-0.15
2006/10/01,70482,-0.18,-0.13
2006/11/01,67599,-0.19,-0.17
2006/12/01,71160,-0.23,-0.23
2007/01/01,66738,-0.12,-0.1
2007/02/01,69536,-0.12,-0.13
2007/03/01,84022,-0.11,-0.08
2007/04/01,77418,-0.14,-0.12
2007/05/01,85335,-0.18,-0.12
2007/06/01,79976,-0.19,-0.07
2007/07/01,79239,-0.15,-0.13
2007/08/01,84791,-0.17,-0.12
2007/09/01,73596,-0.16,-0.16
2007/10/01,74568,-0.18,-0.19
2007/11/01,67426,-0.19,-0.22
2007/12/01,69142,-0.18,-0.3
2008/01/01,65909,-0.17,-0.15
2008/02/01,69153,-0.15,-0.21
2008/03/01,76765,-0.16,-0.17
2008/04/01,73937,-0.18,-0.21
2008/05/01,76381,-0.22,-0.17
2008/06/01,69660,-0.22,-0.13
2008/07/01,69958,-0.22,-0.13
2008/08/01,69951,-0.24,-0.14
2008/09/01,60757,-0.24,-0.2
2008/10/01,55321,-0.24,-0.2
2008/11/01,48162,-0.26,-0.26
2008/12/01,52734,-0.2,-0.27
2009/01/01,50513,-0.17,-0.07
2009/02/01,50498,-0.19,-0.12
2009/03/01,57642,-0.19,-0.14
2009/04/01,56464,-0.15,-0.2
2009/05/01,58093,-0.21,-0.22
2009/06/01,60093,-0.16,-0.17
2009/07/01,62758,-0.15,-0.12
2009/08/01,66739,-0.09,-0.12
2009/09/01,52442,-0.22,-0.22
2009/10/01,55226,-0.22,-0.24
2009/11/01,50288,-0.24,-0.23
2009/12/01,56045,-0.22,-0.31
2010/01/01,50012,-0.19,-0.15
2010/02/01,51998,-0.12,-0.23
2010/03/01,67632,-0.11,-0.21
2010/04/01,64547,-0.17,-0.22
2010/05/01,65376,-0.19,-0.23
2010/06/01,64836,-0.2,-0.21
2010/07/01,67087,-0.21,-0.22
2010/08/01,66085,-0.16,-0.14
2010/09/01,61676,-0.19,-0.28
2010/10/01,61429,-0.18,-0.23
2010/11/01,58918,-0.2,-0.31
2010/12/01,64672,-0.23,-0.31
2011/01/01,58225,-0.08,-0.13
2011/02/01,63178,-0.02,-0.19
2011/03/01,75982,-0.03,-0.19
2011/04/01,70364,-0.08,-0.2
2011/05/01,70070,-0.16,-0.22
2011/06/01,70747,-0.12,-0.16
2011/07/01,69910,-0.1,-0.17
