year,month,search
2004,01,36
2004,02,36
2004,03,54
2004,04,38
2004,05,40
2004,06,44
2004,07,48
2004,08,30
2004,09,31
2004,10,42
2004,11,55
2004,12,49
2005,01,36
2005,02,38
2005,03,50
2005,04,59
2005,05,56
2005,06,55
2005,07,54
2005,08,36
2005,09,28
2005,10,59
2005,11,50
2005,12,48
2006,01,37
2006,02,57
2006,03,52
2006,04,83
2006,05,87
2006,06,58
2006,07,44
2006,08,47
2006,09,43
2006,10,56
2006,11,58
2006,12,37
2007,01,58
2007,02,52
2007,03,47
2007,04,47
2007,05,57
2007,06,71
2007,07,50
2007,08,51
2007,09,57
2007,10,67
2007,11,61
2007,12,47
2008,01,52
2008,02,55
2008,03,54
2008,04,45
2008,05,46
2008,06,55
2008,07,54
2008,08,47
2008,09,49
2008,10,47
2008,11,36
2008,12,36
2009,01,39
2009,02,39
2009,03,41
2009,04,45
2009,05,41
2009,06,47
2009,07,48
2009,08,42
2009,09,42
2009,10,42
2009,11,51
2009,12,42
2010,01,42
2010,02,35
2010,03,46
2010,04,69
2010,05,63
2010,06,56
2010,07,58
2010,08,53
2010,09,54
2010,10,46
2010,11,45
2010,12,45
2011,01,49
2011,02,44
2011,03,56
2011,04,55
2011,05,50
2011,06,46
2011,07,56
2011,08,50
2011,09,51
2011,10,44
2011,11,53
2011,12,48
2012,01,52
2012,02,50
2012,03,52
2012,04,39
2012,05,48
2012,06,50
2012,07,48
2012,08,44
2012,09,41
2012,10,35
2012,11,42
2012,12,37
2013,01,49
2013,02,47
2013,03,41
2013,04,42
2013,05,48
2013,06,49
2013,07,44
2013,08,37
2013,09,38
2013,10,41
2013,11,39
2013,12,40
2014,01,53
2014,02,49
2014,03,42
2014,04,43
2014,05,40
2014,06,42
2014,07,56
2014,08,46
2014,09,39
2014,10,38
2014,11,53
2014,12,37
2015,01,35
2015,02,41
2015,03,39
2015,04,33
2015,05,30
2015,06,35
2015,07,41
2015,08,41
2015,09,40
2015,10,37
2015,11,37
2015,12,34
2016,01,48
2016,02,42
2016,03,38
2016,04,46
2016,05,41
2016,06,41
2016,07,37
2016,08,37
2016,09,42
2016,10,40
2016,11,48
2016,12,45
2017,01,72
2017,02,100
2017,03,79
2017,04,60
2017,05,57
2017,06,53
2017,07,50
2017,08,49
2017,09,52
2017,10,48
2017,11,47
2017,12,54
2018,01,65
2018,02,63
2018,03,52
2018,04,55
2018,05,58
2018,06,90
2018,07,61
2018,08,65
2018,09,56
2018,10,56
2018,11,53
2018,12,61
2019,01,90
2019,02,71
2019,03,54
2019,04,56
2019,05,49
2019,06,60
2019,07,71
2019,08,57
2019,09,54
2019,10,45
